Recipe_ID,Recipe_Name,Cuisine,Recipe_Diet,Taste,Cooking_Time,Calories,Protein_g,Fat_g,Carbs_g,Fiber_g,Vitamin_C_mg,Iron_mg,Calcium_mg
R226,Chicken Caesar Wrap,American,Non-Vegetarian,Savory,12,405,37.0,18.5,30.7,4.0,18.2,2.8,15.0
R227,Fish and Chips,American,Non-Vegetarian,Savory,25,475,34.9,20.5,46.8,2.2,7.5,1.1,32.9
R228,BLT Sandwich,American,Non-Vegetarian,Savory,17,324,22.9,17.4,31.6,3.9,19.9,4.7,16.2
R229,Shrimp Po Boy,American,Non-Vegetarian,Spicy,26,474,32.7,23.3,43.3,4.0,15.1,4.9,43.7
R230,Chicken Pot Pie,American,Non-Vegetarian,Savory,61,450,28.1,27.4,45.4,4.2,13.9,3.2,68.8
R231,Lobster Bisque,American,Non-Vegetarian,Savory,39,379,26.7,20.4,27.3,2.6,6.0,1.0,12.0
R232,Vegan Burger,American,Vegan,Savory,16,304,24.5,15.4,46.7,8.5,13.7,4.1,34.8
R233,Acai Bowl,American,Vegan,Sweet,10,337,9.6,15.6,48.7,9.7,5.5,3.2,19.1
R234,Vegan Mac,American,Vegan,Savory,26,357,13.0,14.3,65.4,5.2,19.1,3.4,29.6
R235,Lentil Chili Bowl,American,Vegan,Spicy,40,290,16.4,4.7,47.2,9.3,16.2,5.6,70.5
R236,Tofu Scramble,American,Vegan,Savory,12,300,19.4,14.4,10.4,4.0,15.5,2.4,95.4
R237,Vegan Buffalo Wings,American,Vegan,Spicy,38,292,13.2,13.0,31.1,5.9,27.5,4.3,57.2
R238,Smoothie Bowl,American,Vegan,Sweet,17,417,8.3,13.3,57.8,8.6,34.7,3.8,73.7
R239,Vegan BLT,American,Vegan,Savory,11,378,10.7,10.2,41.5,7.3,18.6,3.5,39.7
R240,Keto Burger Bowl,American,Keto,Savory,15,398,36.3,33.6,6.9,2.1,2.9,2.5,64.4
R241,Bacon and Eggs,American,Keto,Savory,10,347,33.4,35.6,2.5,3.0,10.6,4.5,40.0
R242,Keto Steak Asparagus,American,Keto,Savory,26,521,52.8,33.5,7.1,3.1,10.6,2.0,64.4
R243,Keto Chicken Salad,American,Keto,Mild,18,392,36.0,19.0,7.9,3.4,11.6,2.4,33.5
R244,Keto BLT Salad,American,Keto,Savory,16,305,27.6,24.2,4.6,2.8,17.1,4.7,43.4
R245,Keto Chili,American,Keto,Spicy,34,390,34.0,23.8,11.0,4.5,18.8,3.3,47.6
R246,Paleo Chicken Bowl,American,Paleo,Savory,35,372,39.7,13.9,9.0,4.4,27.9,3.7,33.2
R247,Grass-fed Beef Steak,American,Paleo,Savory,21,514,40.5,28.5,5.8,2.3,10.9,3.9,53.9
R248,Turkey Lettuce Wrap,American,Paleo,Mild,13,248,36.5,8.1,9.0,3.1,31.8,2.6,85.8
R249,Paleo Chicken Wings,American,Paleo,Spicy,40,384,37.9,14.1,6.2,1.0,26.6,3.7,65.5
R250,Grilled Salmon American,American,Paleo,Mild,20,364,43.8,19.4,5.2,2.8,23.5,2.1,98.0
